time,reference,T F out,T C in,T F in,T C out
3627490750,298.591174,39.793629,41.066134,40.584289,40.179385
3627490750,298.583879,39.921436,41.386462,40.615627,40.075737
3627490751,298.591174,39.967235,41.181747,40.680674,40.044385
3627490751,298.583879,39.902147,41.405727,40.654181,40.15288
3627490752,298.591174,40.044385,41.008323,40.738502,40.140815
3627490752,298.591174,39.755046,41.297349,40.680674,40.102244
3627490753,298.591174,40.1601,41.201015,40.642121,40.082958
3627490753,298.591174,40.082958,41.316615,40.584289,40.063671
3627490754,298.591174,40.044385,41.143211,40.834874,40.179385
3627490754,298.591174,39.947947,41.23955,40.622844,40.102244
3627490755,298.591174,39.8515,41.663346,40.622844,40.12153
3627490755,298.598468,40.205889,41.26603,40.764993,40.12875
3627490756,298.591174,40.044385,41.451467,40.661398,40.140815
3627490756,298.591174,40.352933,41.355146,40.661398,40.12153
3627490757,298.591174,40.295086,41.316615,40.680674,40.1601
3627490757,298.598468,40.070893,41.516468,40.630062,40.16732
3627490758,298.591174,40.179385,41.432203,40.69995,40.12153
3627490758,298.591174,40.063671,41.701866,40.680674,40.1601
3627490759,298.598468,40.475835,41.381624,40.745718,40.186605
3627490759,298.598468,40.475835,41.343094,40.630062,40.205889
3627490760,298.591174,40.468617,41.220283,40.777051,40.140815
3627490760,298.598468,40.244457,41.26603,40.707167,40.186605
3627490761,298.598468,40.437276,41.554992,40.726443,40.16732
3627490761,298.591174,40.507176,41.586304,40.680674,40.217953
3627490762,298.591174,40.584289,41.201015,40.661398,40.1601
3627490762,298.598468,40.533673,41.323828,40.745718,40.16732
3627490763,298.591174,40.449337,41.54778,40.738502,40.237237
3627490763,298.598468,40.475835,41.516468,40.668615,40.26374
3627490764,298.598468,40.533673,41.285296,40.649339,40.16732
3627490764,298.591174,40.507176,41.586304,40.69995,40.198669
3627490765,298.598468,40.610785,41.400888,40.803542,40.186605
3627490765,298.591174,40.391495,41.201015,40.777051,40.275804
3627490766,298.598468,40.649339,41.169694,40.745718,40.186605
3627490766,298.598468,40.495115,41.343094,40.764993,40.244457
3627490767,298.591174,40.757777,41.432203,40.719226,40.25652
3627490767,298.591174,40.545733,41.23955,40.719226,40.25652
3627490768,298.598468,40.687892,41.497206,40.687892,40.302306
3627490768,298.598468,40.803542,41.362359,40.668615,40.26374
3627490769,298.598468,40.726443,41.670557,40.764993,40.283023
3627490769,298.598468,40.533673,41.111888,40.687892,40.283023
3627490770,298.605762,40.656556,41.273244,40.695109,40.251677
3627490770,298.591174,40.622844,41.393675,40.69995,40.333651
3627490771,298.598468,40.668615,41.554992,40.687892,40.26374
3627490771,298.598468,40.572229,41.323828,40.764993,40.321588
3627490772,298.598468,40.495115,41.689817,40.745718,40.360152
3627490772,298.598468,40.764993,41.323828,40.668615,40.205889
3627490773,298.605762,40.675833,41.542942,40.714385,40.309525
3627490773,298.598468,40.591507,41.670557,40.687892,40.302306
3627490774,298.598468,40.630062,41.497206,40.668615,40.283023
3627490774,298.598468,40.533673,41.612776,40.764993,40.302306
3627490775,298.598468,40.533673,41.458679,40.784268,40.34087
3627490775,298.598468,40.707167,41.362359,40.745718,40.283023
3627490776,298.598468,40.726443,41.381624,40.957725,40.26374
3627490776,298.605762,40.752935,41.331041,40.77221,40.309525
3627490777,298.598468,40.591507,41.439416,40.514394,40.360152
3627490777,298.598468,40.668615,41.343094,40.726443,40.302306
3627490778,298.605762,40.73366,41.29251,40.964941,40.290243
3627490778,298.598468,40.649339,41.304563,40.630062,40.283023
3627490779,298.598468,40.726443,41.343094,40.707167,40.34087
3627490779,298.605762,40.579447,41.311776,40.73366,40.309525
3627490780,298.598468,40.649339,41.208229,40.899909,40.244457
3627490780,298.598468,40.822816,41.304563,40.649339,40.283023
3627490781,298.605762,40.73366,41.331041,40.618002,40.34809
3627490781,298.598468,40.668615,41.439416,40.784268,40.360152
3627490782,298.598468,40.784268,41.420152,40.610785,40.360152
3627490782,298.598468,40.552951,41.458679,40.687892,40.302306
3627490783,298.605762,40.830033,41.485155,40.618002,40.328808
3627490783,298.598468,40.880636,41.131157,40.726443,40.379433
3627490784,298.605762,40.984212,41.29251,40.752935,40.34809
3627490784,298.605762,40.637279,41.350307,40.791485,40.34809
3627490785,298.605762,40.675833,41.331041,40.868579,40.328808
3627490785,298.605762,40.830033,41.273244,40.714385,40.328808
