time,reference,T F out,T C in,T F in,T C out
3619676122,296.395542,41.517243,18.983001,41.575029,19.238459
3619676122,296.388247,41.567831,18.897041,41.394464,19.231113
3619676123,296.395542,41.575029,19.002654,41.652072,19.31705
3619676123,296.388247,41.452256,18.936349,41.54857,19.27041
3619676124,296.388247,41.33667,18.877387,41.471519,19.348999
3619676124,296.388247,41.240339,18.916695,41.452256,19.211465
3619676125,296.388247,41.664135,18.877387,41.625615,19.290058
3619676125,296.388247,41.644875,18.995307,41.452256,19.211465
3619676126,296.388247,41.452256,18.995307,41.529307,19.250762
3619676126,296.395542,41.324603,19.041958,41.632811,19.238459
3619676127,296.395542,41.555767,18.963349,41.478717,19.356344
3619676127,296.395542,41.266805,18.727491,41.536505,19.37599
3619676128,296.388247,41.625615,18.975655,41.471519,19.407938
3619676128,296.388247,41.3752,19.132866,41.3752,19.290058
3619676129,296.395542,41.517243,19.022306,41.343868,19.258107
3619676129,296.395542,41.401663,18.924042,41.401663,19.356344
3619676130,296.388247,41.644875,18.759456,41.452256,19.290058
3619676130,296.395542,41.459454,19.100911,41.555767,19.31705
3619676131,296.395542,41.401663,19.199161,41.536505,19.31705
3619676131,296.388247,41.33667,19.034611,41.471519,19.368646
3619676132,296.388247,41.529307,19.034611,41.471519,19.309705
3619676132,296.388247,41.510045,18.838078,41.567831,19.309705
3619676133,296.395542,41.536505,18.884734,41.49798,19.31705
3619676133,296.395542,41.536505,18.983001,41.613551,19.199161
3619676134,296.388247,41.741173,18.798767,41.413729,19.231113
3619676134,296.388247,41.394464,18.916695,41.394464,19.290058
3619676135,296.395542,41.170468,18.884734,41.420927,19.297403
3619676135,296.388247,41.760431,18.877387,41.452256,19.290058
3619676136,296.395542,41.440191,18.766804,41.478717,19.277755
3619676136,296.395542,41.652072,18.924042,41.517243,19.238459
3619676137,296.395542,41.555767,19.041958,41.382398,19.31705
3619676137,296.402836,41.87111,18.911736,41.447389,19.265452
3619676138,296.388247,41.240339,18.877387,41.355935,19.191815
3619676138,296.395542,41.420927,19.002654,41.420927,19.21881
3619676139,296.395542,41.420927,19.258107,41.517243,19.277755
3619676139,296.395542,41.478717,18.806115,41.478717,19.277755
3619676140,296.395542,41.59429,18.86508,41.324603,19.297403
3619676140,296.395542,41.517243,18.983001,41.536505,19.31705
3619676141,296.395542,41.459454,18.82577,41.49798,19.31705
3619676141,296.402836,41.485915,18.872428,41.543703,19.186857
3619676142,296.395542,41.671332,18.924042,41.478717,19.258107
3619676142,296.395542,41.575029,18.943696,41.49798,19.277755
3619676143,296.395542,41.478717,18.924042,41.459454,19.258107
3619676143,296.395542,41.555767,18.82577,41.49798,19.199161
3619676144,296.395542,41.575029,18.924042,41.440191,19.238459
3619676144,296.402836,41.640008,18.931389,41.52444,19.245804
3619676145,296.395542,41.247538,18.884734,41.440191,19.179512
3619676145,296.395542,41.209004,18.82577,41.459454,19.238459
3619676146,296.395542,41.49798,18.86508,41.478717,19.31705
3619676146,296.402836,41.678529,18.951042,41.640008,19.2851
3619676147,296.395542,41.420927,18.963349,41.440191,19.277755
3619676147,296.395542,41.459454,18.86508,41.478717,19.31705
3619676148,296.402836,41.562964,18.892082,41.447389,19.265452
3619676148,296.395542,41.459454,19.002654,41.575029,19.277755
3619676149,296.395542,41.49798,19.022306,41.440191,19.21881
3619676149,296.395542,41.420927,19.100911,41.440191,19.336697
3619676150,296.395542,41.536505,18.766804,41.652072,19.179512
3619676150,296.402836,41.678529,18.951042,41.543703,19.245804
3619676151,296.402836,41.428125,18.990348,41.678529,19.245804
3619676151,296.395542,41.459454,18.904388,41.305337,19.277755
3619676152,296.395542,41.575029,18.904388,41.343868,19.31705
3619676152,296.395542,41.440191,18.924042,41.363134,19.297403
3619676153,296.395542,41.478717,18.904388,41.555767,19.297403
3619676153,296.402836,41.485915,18.872428,41.582226,19.324395
3619676154,296.395542,41.555767,19.08126,41.632811,19.238459
3619676154,296.395542,41.517243,19.120562,41.575029,19.277755
